Binomial,order,family,genus,species,Sample_size.brain,Sample_size.body,Sex,Mean_brain_mass_g,Mean_body_mass_g,BrainReference1,BrainReference2,Brain.resid,T_resid
Phacochoerus_africanus,Artiodactyla,Suidae,Phacochoerus,africanus,,,,132.5,67000,Count1947,,-0.237397296,-0.187021443
Antidorcas_marsupialis,Artiodactyla,Bovidae,Antidorcas,marsupialis,,,,135,36518,IslerVanSchaik2012,,-0.031601723,-0.186308576
Redunca_arundinum,Artiodactyla,Bovidae,Redunca,arundinum,,,,136.8,38200,IslerVanSchaik2012,,-0.040516813,-0.185836146
Potamochoerus_porcus,Artiodactyla,Suidae,Potamochoerus,porcus,,,,138,75000,Perez-Barberia.etal.2007,Dunbar.2006,-0.256474271,-0.18427217
Nanger_granti,Artiodactyla,Bovidae,Nanger,granti,,,,139,40500,IslerVanSchaik2012,,-0.052632031,-0.181908484
Ovis_ammon,Artiodactyla,Bovidae,Ovis,ammon,,,,140,55000,IslerVanSchaik2012,,-0.149200462,-0.181546865
Hylochoerus_meinertzhageni,Artiodactyla,Suidae,Hylochoerus,meinertzhageni,,,,141,2.00E+05,Perez-Barberia.etal.2007,Dunbar.2006,-0.566613733,-0.179935299
Axis_porcinus,Artiodactyla,Cervidae,Axis,porcinus,,,,142,30000,IslerVanSchaik2012,,0.054392739,-0.176215857
Tragelaphus_spekii,Artiodactyla,Bovidae,Tragelaphus,spekii,,,,145,42000,IslerVanSchaik2012,,-0.046124638,-0.17382768
Tayassu_pecari,Artiodactyla,Tayassuidae,Tayassu,pecari,1,,,145.8,32233.33,Boddy2012,Warncke 1908; Silva & Downing 1995,0.042473764,-0.164390613
Nanger_dama,Artiodactyla,Bovidae,Nanger,dama,,,,150,60000,IslerVanSchaik2012,,-0.14757892,-0.1639032
Hemitragus_jemlahicus,Artiodactyla,Bovidae,Hemitragus,jemlahicus,,,,166,70000,Perez-Barberia.etal.2007,Dunbar.2006,-0.153772645,-0.14664572
Sus_scrofa,Artiodactyla,Suidae,Sus,scrofa,1,,,169.8,86772.73,Boddy2012,Warncke 1908; Silva & Downing 1995,-0.213907607,-0.143326098
Cephalophus_silvicultor,Artiodactyla,Bovidae,Cephalophus,silvicultor,,,,170,43000,IslerVanSchaik2012,,0.015291837,-0.142927191
Ovis_aries,Artiodactyla,Bovidae,Ovis,aries,,,,175,55500,Savage and West 2006,Meddis R 1983,-0.055238196,-0.139216846
Addax_nasomaculatus,Artiodactyla,Bovidae,Addax,nasomaculatus,,,,185,107000,IslerVanSchaik2012,,-0.244924579,-0.126273547
Odocoileus_hemionus,Artiodactyla,Cervidae,Odocoileus,hemionus,,,,189.3,58990,IslerVanSchaik2012,,-0.040989873,-0.125072931
Vicugna_vicugna,Artiodactyla,Camelidae,Vicugna,vicugna,,,,199.9,46215,IslerVanSchaik2012,,0.062169617,-0.12438743
Cervus_nippon,Artiodactyla,Cervidae,Cervus,nippon,,,,200,46000,Perez-Barberia.etal.2007,Dunbar.2006,0.063905677,-0.118608062
Kobus_kob,Artiodactyla,Bovidae,Kobus,kob,,,,204,117500,IslerVanSchaik2012,,-0.232956987,-0.11697151
Ammotragus_lervia,Artiodactyla,Bovidae,Ammotragus,lervia,,,,209,110000,IslerVanSchaik2012,,-0.200956785,-0.114956953
Hexaprotodon_liberiensis,Artiodactyla,Hippopotamidae,Hexaprotodon,liberiensis,,,,215,81000,Perez-Barberia.etal.2007,,-0.088982945,-0.113149639
Boselaphus_tragocamelus,Artiodactyla,Bovidae,Boselaphus,tragocamelus,2,,,271.75,125000,Boddy2012,Warncke 1908,-0.128571897,-0.098289773
Oryx_beisa,Artiodactyla,Bovidae,Oryx,beisa,,,,282,175000,Perez-Barberia.etal.2007,Dunbar.2006,-0.222089377,-0.082518613
Bos_grunniens,Artiodactyla,Bovidae,Bos,grunniens,,,,334,250000,Perez-Barberia.etal.2007,Dunbar.2006,-0.264769557,-0.0615929
Alcelaphus_lichtensteinii,Artiodactyla,Bovidae,Alcelaphus,lichtensteinii,,,,357,165000,Perez-Barberia.etal.2007,Dunbar.2006,-0.100504514,-0.059360356
Alces_americanus,Artiodactyla,Cervidae,Alces,americanus,,,,407,272000,Count1947,,-0.206393539,-0.051473305
Cervus_elaphus,Artiodactyla,Cervidae,Cervus,elaphus,1,,,409.3,2.00E+05,Boddy2012,Warncke 1908,-0.103791101,-0.047631543
Alces_alces,Artiodactyla,Cervidae,Alces,alces,1,,,436,2.00E+05,Boddy2012,Warncke 1908,-0.076346356,-0.047184868
Okapia_johnstoni,Artiodactyla,Giraffidae,Okapia,johnstoni,,,,501,240000,Perez-Barberia.etal.2007,Dunbar.2006,-0.0753816,-0.019740124
Camelus_bactrianus,Artiodactyla,Camelidae,Camelus,bactrianus,,,,575,4.00E+05,Perez-Barberia.etal.2007,Dunbar.2006,-0.181939574,0.00102404
Mustela_erminea,Carnivora,Mustelidae,Mustela,erminea,5,,Both,4.57,156.43,Boddy2012,"Crile&Quiring1940,Warncke1908",0.274137251,0.067295272
Mephitis_mephitis,Carnivora,Mephitidae,Mephitis,mephitis,3,,Both,10.15,1980,Boddy2012,Crile&Quiring1940,-0.206079371,-0.303263127
Pusa_caspica,Carnivora,Phocidae,Pusa,caspica,2,,Both,162.5,62750,Boddy2012,Bininda-Emonds 2000,-0.127413808,-0.075287386
Pusa_sibirica,Carnivora,Phocidae,Pusa,sibirica,2,,Both,187.5,89500,Boddy2012,Bininda-Emonds 2000,-0.180923944,-0.11345721
Pusa_hispida,Carnivora,Phocidae,Pusa,hispida,2,,Both,196.25,69085,Boddy2012,Bininda-Emonds 2000,-0.07678532,-0.020503731
Histriophoca_fasciata,Carnivora,Phocidae,Histriophoca,fasciata,2,,Both,248.75,87580,Boddy2012,Bininda-Emonds 2000,-0.051098491,0.015431358
Phoca_largha,Carnivora,Phocidae,Phoca,largha,2,,Both,253.75,91500,Boddy2012,Bininda-Emonds 2000,-0.056717775,0.011703747
Panthera_tigris,Carnivora,Felidae,Panthera,tigris,3,,Both,269.73,195000,Boddy2012,Crile & Quiring 1940; Sherwoodetal.2008; Silva & Downing 1995,-0.276656979,-0.1755459
Arctocephalus_galapagoensis,Carnivora,Otariidae,Arctocephalus,galapagoensis,2,,Both,291.25,45950,Boddy2012,Bininda-Emonds 2000,0.227495855,0.266160204
Arctocephalus_australis,Carnivora,Otariidae,Arctocephalus,australis,2,,Both,307.5,103750,Boddy2012,Bininda-Emonds 2000,-0.014204341,0.059645355
Halichoerus_grypus,Carnivora,Phocidae,Halichoerus,grypus,2,,Both,307.5,194000,Boddy2012,Bininda-Emonds 2000,-0.218066435,-0.117177476
Arctocephalus_forsteri,Carnivora,Otariidae,Arctocephalus,forsteri,2,,Both,320,109690,Boddy2012,Bininda-Emonds 2000,-0.015033848,0.061221101
Arctocephalus_tropicalis,Carnivora,Otariidae,Arctocephalus,tropicalis,2,,Both,326.25,101250,Boddy2012,Bininda-Emonds 2000,0.019445938,0.092241864
Callorhinus_ursinus,Carnivora,Otariidae,Callorhinus,ursinus,3,,Both,334.83,150916.67,Boddy2012,Bininda-Emonds 2000; Scheffer 1960,-0.099288052,-0.009248528
Ursus_arctos,Carnivora,Ursidae,Ursus,arctos,3,,Both,335.97,131022.67,Boddy2012,Count 1947; Crile & Quiring 1940; Sherwoodetal.2008; Silva & Downing 1995,-0.051768416,0.032164126
Arctocephalus_gazella,Carnivora,Otariidae,Arctocephalus,gazella,2,,Both,340,96600,Boddy2012,Bininda-Emonds 2000,0.052687904,0.123452715
Arctocephalus_pusillus,Carnivora,Otariidae,Arctocephalus,pusillus,4,,Both,369.38,178750,Boddy2012,Bininda-Emonds 2000,-0.111771173,-0.014419195
Neophoca_cinerea,Carnivora,Otariidae,Neophoca,cinerea,2,,Both,388.75,189275,Boddy2012,Bininda-Emonds 2000,-0.108209722,-0.008386014
Phocarctos_hookeri,Carnivora,Otariidae,Phocarctos,hookeri,2,,Both,393.75,273500,Boddy2012,Bininda-Emonds 2000,-0.222558717,-0.106832176
Cystophora_cristata,Carnivora,Phocidae,Cystophora,cristata,2,,Both,455,282840,Boddy2012,Bininda-Emonds 2000,-0.170705612,-0.053528344
Monachus_monachus,Carnivora,Phocidae,Monachus,monachus,2,,Both,480,280500,Boddy2012,Bininda-Emonds 2000,-0.144769774,-0.027951417
Ommatophoca_rossii,Carnivora,Phocidae,Ommatophoca,rossii,2,,Both,495,179400,Boddy2012,Bininda-Emonds 2000,0.014178347,0.11168714
Otaria_flavescens,Carnivora,Otariidae,Otaria,flavescens,2,,Both,506.25,222000,Boddy2012,Bininda-Emonds 2000,-0.045460356,0.061253117
Ursus_maritimus,Carnivora,Ursidae,Ursus,maritimus,2,,Both,507,317000,Boddy2012,Count 1947; Crile & Quiring 1940,-0.160848216,-0.038744993
Leptonychotes_weddellii,Carnivora,Phocidae,Leptonychotes,weddellii,>2,,Both,564.17,378666.67,Boddy2012,Bininda-Emonds 2000; Robin 1973; Silva & Downing 1995,-0.172345083,-0.042562436
Lobodon_carcinophaga,Carnivora,Phocidae,Lobodon,carcinophaga,2,,Both,586.25,222250,Boddy2012,Bininda-Emonds 2000,0.017890864,0.124652961
Eumetopias_jubatus,Carnivora,Otariidae,Eumetopias,jubatus,2,,Both,661.25,643775,Boddy2012,Bininda-Emonds 2000,-0.276248747,-0.123538887
Hydrurga_leptonyx,Carnivora,Phocidae,Hydrurga,leptonyx,2,,Both,712.5,345500,Boddy2012,Bininda-Emonds 2000,-0.041113156,0.084709399
Mirounga_leonina,Carnivora,Phocidae,Mirounga,leonina,2,,Both,1205,2006500,Boddy2012,Bininda-Emonds 2000,-0.385909583,-0.184087321
Odobenus_rosmarus,Carnivora,Odobenidae,Odobenus,rosmarus,2,,Both,1410.25,1022225,Boddy2012,Bininda-Emonds 2000,-0.097929002,0.074757115
Vulpes_vulpes,Carnivora,Canidae,Vulpes,vulpes,6,,F or both,49.64,3722.71,Boddy2012,Crile & Quiring 1940; Warncke 1908; Silva & Downing 1995,0.277638956,0.207731257
Genetta_tigrina,Carnivora,Viverridae,Genetta,tigrina,1,,Female,15.35,1525,Boddy2012,Crile & Quiring 1940; Silva & Downing 1995,0.058610259,-0.04985375
Otocyon_megalotis,Carnivora,Canidae,Otocyon,megalotis,1,,Female,26.09,3335,Boddy2012,Crile & Quiring 1940; Silva & Downing 1995,0.034104118,-0.040554948
Potos_flavus,Carnivora,Procyonidae,Potos,flavus,2,,Female,33.08,2241.5,Boddy2012,Count 1947; Crile & Quiring 1940; Silva & Downing 1995,0.266614551,0.174789986
Nasua_nasua,Carnivora,Procyonidae,Nasua,nasua,2,,Female,37.5,3187.5,Boddy2012,Count 1947; Spitzka 1903; Silva & Downing 1995,0.206395676,0.129782316
Bassariscus_sumichrasti,Carnivora,Procyonidae,Bassariscus,sumichrasti,1,,Female,41.9,2722,Boddy2012,Count 1947,0.306000458,0.222566734
Melursus_ursinus,Carnivora,Ursidae,Melursus,ursinus,1,,Female,267,136080,Boddy2012,Count 1947,-0.163893659,-0.078324931
Helarctos_malayanus,Carnivora,Ursidae,Helarctos,malayanus,1,,Female,385.5,45020,Boddy2012,Count 1947,0.355914384,0.393695372
Erignathus_barbatus,Carnivora,Phocidae,Erignathus,barbatus,1,,Female,460,281000,Boddy2012,Crile & Quiring 1940; Silva & Downing 1995,-0.163833275,-0.046937977
Pagophilus_groenlandicus,Carnivora,Phocidae,Pagophilus,groenlandicus,,,Female,275,132250,IslerVanSchaik2012,,-0.141773176,-0.057437828
Mirounga_angustirostris,Carnivora,Phocidae,Mirounga,angustirostris,,,Female,670,7.00E+05,IslerVanSchaik2012,,-0.297812829,-0.141485587
Procyon_lotor,Carnivora,Procyonidae,Procyon,lotor,3,,M or both,41.07,4975.67,Boddy2012,Crile & Quiring 1940; Silva & Downing 1995,0.100836745,0.043462415
Nasua_narica,Carnivora,Procyonidae,Nasua,narica,2,,M or both,44.17,6250,Boddy2012,Crile & Quiring 1940; Silva & Downing 1995,0.058167422,0.010644166
Phoca_vitulina,Carnivora,Phocidae,Phoca,vitulina,7,,M or both,315,73635,Boddy2012,Bininda-Emonds 2000; Count 1947; Crile & Quiring 1940; Silva & Downing 1995,0.107939981,0.166977141
Mustela_putorius,Carnivora,Mustelidae,Mustela,putorius,1,,Male,7.87,915,Boddy2012,Count1947,-0.065135296,-0.1956682
Ichneumia_albicauda,Carnivora,Herpestidae,Ichneumia,albicauda,1,,Male,28.3,4400,Boddy2012,Crile & Quiring 1940; Silva & Downing 1995,-0.020851985,-0.083538288
Urocyon_cinereoargenteus,Carnivora,Canidae,Urocyon,cinereoargenteus,1,,Male,37.28,3749,Boddy2012,Crile & Quiring 1940; Silva & Downing 1995,0.15099089,0.081387217
Leptailurus_serval,Carnivora,Felidae,Leptailurus,serval,1,,Male,54.1,11340,Boddy2012,Count 1947,-0.047814275,-0.06959949
Leopardus_pardalis,Carnivora,Felidae,Leopardus,pardalis,2,,Male,63.1,9525.5,Boddy2012,Count 1947,0.075812296,0.046494142
Lynx_rufus,Carnivora,Felidae,Lynx,rufus,1,,Male,65,6350,Boddy2012,Count 1947,0.220783051,0.173945561
Lynx_canadensis,Carnivora,Felidae,Lynx,canadensis,1,,Male,69.5,14969,Boddy2012,Count 1947,-0.029462368,-0.039252647
Panthera_pardus,Carnivora,Felidae,Panthera,pardus,1,,Male,135,48000,Boddy2012,Crile & Quiring 1940; Silva & Downing 1995,-0.120653232,-0.080103221
Puma_concolor,Carnivora,Felidae,Puma,concolor,1,,Male,154,54432,Boddy2012,Count 1947,-0.104426447,-0.058443682
Ursus_americanus,Carnivora,Ursidae,Ursus,americanus,1,,Male,248,25990,Boddy2012,Spitzka 1903; Silva & Downing 1995,0.343292737,0.35733854
Monachus_schauinslandi,Carnivora,Phocidae,Monachus,schauinslandi,1,,Male,370,173000,Boddy2012,Bininda-Emonds 2000,-0.100392767,-0.00445336
Arctocephalus_philippii,Carnivora,Otariidae,Arctocephalus,philippii,1,,Male,415,140000,Boddy2012,Bininda-Emonds 2000,0.01839279,0.105188444
Genetta_pardina,Carnivora,Viverridae,Genetta,pardina,,,,15.4,1032,VonBonin1937,,0.18721638,0.061882016
Mustela_nivalis,Carnivora,Mustelidae,Mustela,nivalis,,,,2,60,IslerVanSchaik2012,,0.227380513,-0.020860777
Mustela_frenata,Carnivora,Mustelidae,Mustela,frenata,,,,4,165,IslerVanSchaik2012,,0.198907958,-0.005629741
Mustela_altaica,Carnivora,Mustelidae,Mustela,altaica,>10,,,4.48,190,Gittleman1986,,0.202173315,0.003730551
Ictonyx_libyca,Carnivora,Mustelidae,Ictonyx,libyca,>10,,,4.48,230,Gittleman1986,,0.139942067,-0.050246652
Poecilogale_albinucha,Carnivora,Mustelidae,Poecilogale,albinucha,,,,4.5,250,IslerVanSchaik2012,,0.114717187,-0.071869245
Helogale_parvula,Carnivora,Herpestidae,Helogale,parvula,,,,4.8,267,IslerVanSchaik2012,,0.121317274,-0.06242697
Vormela_peregusna,Carnivora,Mustelidae,Vormela,peregusna,,,,4.8,448,IslerVanSchaik2012,,-0.047259341,-0.208644415
Spilogale_putorius,Carnivora,Mephitidae,Spilogale,putorius,,,,5,326,IslerVanSchaik2012,,0.074015689,-0.10110325
Mustela_sibirica,Carnivora,Mustelidae,Mustela,sibirica,,,,6,395,IslerVanSchaik2012,,0.090661738,-0.076162841
