"Are you self-employed?","How many employees does your company or organization have?","Is your employer primarily a tech company/organization?","Is your primary role within your company related to tech/IT?","Does your employer provide mental health benefits as part of healthcare coverage?","Do you know the options for mental health care available under your employer-provided coverage?","Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?","Does your employer offer resources to learn more about mental health concerns and options for seeking help?","Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?","If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:","Do you think that discussing a mental health disorder with your employer would have negative consequences?","Do you think that discussing a physical health issue with your employer would have negative consequences?","Would you feel comfortable discussing a mental health disorder with your coworkers?","Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?","Do you feel that your employer takes mental health as seriously as physical health?","Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?","Do you have medical coverage (private insurance or state-provided) which includes treatment of  mental health issues?","Do you know local or online resources to seek help for a mental health disorder?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?","If you have revealed a mental health issue to a client or business contact, do you believe this has impacted you negatively?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?","If you have revealed a mental health issue to a coworker or employee, do you believe this has impacted you negatively?","Do you believe your productivity is ever affected by a mental health issue?","If yes, what percentage of your work time (time performing primary or secondary job functions) is affected by a mental health issue?","Do you have previous employers?","Have your previous employers provided mental health benefits?","Were you aware of the options for mental health care provided by your previous employers?","Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?","Did your previous employers provide resources to learn more about mental health issues and how to seek help?","Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?","Do you think that discussing a mental health disorder with previous employers would have negative consequences?","Do you think that discussing a physical health issue with previous employers would have negative consequences?","Would you have been willing to discuss a mental health issue with your previous co-workers?","Would you have been willing to discuss a mental health issue with your direct supervisor(s)?","Did you feel that your previous employers took mental health as seriously as physical health?","Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?","Would you be willing to bring up a physical health issue with a potential employer in an interview?","Why or why not?","Would you bring up a mental health issue with a potential employer in an interview?","Why or why not?","Do you feel that being identified as a person with a mental health issue would hurt your career?","Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?","How willing would you be to share with friends and family that you have a mental illness?","Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?","Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?","Do you have a family history of mental illness?","Have you had a mental health disorder in the past?","Do you currently have a mental health disorder?","If yes, what condition(s) have you been diagnosed with?","If maybe, what condition(s) do you believe you have?","Have you been diagnosed with a mental health condition by a medical professional?","If so, what condition(s) were you diagnosed with?","Have you ever sought treatment for a mental health issue from a mental health professional?","If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?","What is your age?","What is your gender?","What country do you live in?","What US state or territory do you live in?","What country do you work in?","What US state or territory do you work in?","Which of the following best describes your work position?","Do you work remotely?"
0,26-100,1,,Yes,"I am not sure",Yes,Yes,Yes,"Very easy",No,No,Maybe,Yes,Yes,No,,,,,,,,,1,"No, none did","N/A (not currently aware)","None did","None did",No,"Some of them","Some of them","No, at none of my previous employers","Some of my previous employers","None did","Some of them",Yes,"Being honest upfront shows respect for the future employer. If they see that as a stumbling block in hiring you, then it probably wouldn't have been a good fit in the long run anyways.",Yes,"Same reason as above.","No, I don't think it would",Maybe,"Very open","Yes, I observed",Maybe,"I don't know",Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,28,Male,"United States of America",Oregon,"United States of America",Oregon,"Front-end Developer",Never
0,100-500,0,1,Yes,Yes,No,"I don't know","I don't know","Somewhat difficult",Yes,No,No,No,No,No,,,,,,,,,1,"No, none did","N/A (not currently aware)","None did","None did","I don't know","Yes, all of them","Some of them","No, at none of my previous employers","No, at none of my previous employers","None did","None of them",No,"It isn't relevant to my ability as a programmer.",No,"It isn't relevant to my ability as a programmer.","Yes, I think it would","Yes, I think they would","Not open at all",No,,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",1,Never,Rarely,34,Male,"United States of America",Pennsylvania,"United States of America",Pennsylvania,"Executive Leadership",Sometimes
0,100-500,1,,Yes,"I am not sure",No,No,Yes,"Very easy",No,No,Yes,Yes,Yes,No,,,,,,,,,1,"Some did","Yes, I was aware of all of them","Some did","Some did","Yes, always","None of them","None of them","Yes, at all of my previous employers","Some of my previous employers","Yes, they all did","None of them",No,"Seems highly unlikely to be relevant",No,"Also seems highly likely to be irrelevant at the point that I am in an interview. ","No, it has not","No, they do not","Somewhat open",No,,Yes,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Sometimes,30,Female,"United States of America","New Jersey","United States of America","New Jersey","Supervisor/Team Lead|Dev Evangelist/Advocate|Back-end Developer|Front-end Developer",Always
0,100-500,0,1,Yes,Yes,Yes,Yes,Yes,"Somewhat easy",No,No,No,Maybe,Yes,No,,,,,,,,,1,"I don't know","N/A (not currently aware)","None did","None did","I don't know","Yes, all of them","Yes, all of them","Some of my previous employers","Some of my previous employers","None did","Some of them",Yes,"I might have special needs that would be impossible to hide.",No,"Too private.",Maybe,"Yes, I think they would","Not open at all","Yes, I experienced",Maybe,No,Maybe,Maybe,,"Substance Use Disorder|Addictive Disorder",No,,0,"Not applicable to me",Sometimes,44,Male,Canada,,Canada,,"DevOps/SysAdmin|Back-end Developer|Front-end Developer",Sometimes
0,100-500,1,,Yes,Yes,No,"I don't know",Yes,"Very easy",No,No,Yes,Yes,No,No,,,,,,,,,1,"I don't know","No, I only became aware later","None did","None did","I don't know","I don't know","None of them","No, at none of my previous employers","I don't know","I don't know","None of them",No,"Because of the potential for discrimination",No,"Because Of the potential for discrimination","No, it has not","No, they do not","Somewhat open",No,,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Obsessive-Compulsive Disorder",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Obsessive-Compulsive Disorder",1,Sometimes,Sometimes,35,Male,"United States of America",Georgia,"United States of America",Georgia,Designer,Always
0,100-500,1,,"I don't know",No,No,"I don't know","I don't know","Neither easy nor difficult",Maybe,Maybe,Maybe,Maybe,"I don't know",No,,,,,,,,,1,"Some did","I was aware of some","Some did","Some did",Sometimes,"Some of them","Some of them","Some of my previous employers","Some of my previous employers","Some did","None of them",Maybe,"I don't think it's appropriate to discuss those issues during early interviews. I'd wait to discuss with HR after I have a feel for what's going on.",Maybe,"I don't think it's appropriate to discuss those issues during early interviews. I'd wait to discuss with HR after I have a feel for what's going on.",Maybe,Maybe,Neutral,No,,Yes,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Sometimes,52,m,"United States of America",Oregon,"United States of America",Oregon,"Other|Executive Leadership",Sometimes
0,26-100,1,,"Not eligible for coverage / N/A",No,No,No,"I don't know","Very difficult",Maybe,No,Maybe,Maybe,No,No,,,,,,,,,1,"No, none did","No, I only became aware later","None did","None did",No,"Yes, all of them","None of them","No, at none of my previous employers","No, at none of my previous employers","None did","Some of them",Yes,,No,"I have found their reaction to be a good indicator of whether our ideals are aligned / whether it's a good fit for me as a workplace.","Yes, it has","No, I don't think they would","Very open","Yes, I experienced",Yes,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Eating Disorder (Anorexia, Bulimia, etc)|Obsessive-Compulsive Disorder",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,32,"I identify as female.",Canada,,Canada,,"Front-end Developer",Always
0,500-1000,1,,No,No,No,No,"I don't know","I don't know",Maybe,No,Yes,Maybe,No,No,,,,,,,,,1,"No, none did","Yes, I was aware of all of them","None did","None did","I don't know","Some of them","Some of them","Some of my previous employers","Some of my previous employers","Some did","None of them",No,,No,,Maybe,Maybe,"Somewhat open","Maybe/Not sure",Maybe,No,No,No,,,No,,0,"Not applicable to me","Not applicable to me",34,Male,"United Kingdom",,"United Kingdom",,"Back-end Developer",Never
1,,,,,,,,,,,,,,,,1,"I know some","No, because it would impact me negatively",Yes,"No, because it would impact me negatively",Yes,Yes,76-100%,0,,,,,,,,,,,,No,,No,"bad idea ","Yes, it has","Yes, they do","Somewhat not open","Yes, I observed",Yes,"I don't know",Yes,Yes,"Personality Disorder (Borderline, Antisocial, Paranoid, etc)|Attention Deficit Hyperactivity Disorder",,Yes,"Personality Disorder (Borderline, Antisocial, Paranoid, etc)|Attention Deficit Hyperactivity Disorder",1,Often,Often,25,"female ","United States of America",Washington,"United States of America",Washington,"One-person shop",Always
0,100-500,0,1,"I don't know",No,No,No,"I don't know","I don't know",Yes,No,No,No,Yes,No,,,,,,,,,1,"I don't know","N/A (not currently aware)","None did","Some did","I don't know","Yes, all of them","None of them","No, at none of my previous employers","No, at none of my previous employers","None did","None of them",Yes,"Physical impairments aren't traditionally stigmatized. Far less judgements and resulting talk behind backs compared to mental",No,"Stigmatized. Uncomfortable for both parties. Mental instability frowned upon in technical roles. ","Yes, I think it would","Yes, I think they would","Somewhat not open",No,,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Sometimes,31,M,"United States of America","New Jersey","United States of America","New York","Back-end Developer|Front-end Developer",Sometimes
0,6-25,1,,No,N/A,No,No,"I don't know","Very easy",No,No,Maybe,Yes,"I don't know",No,,,,,,,,,1,"Yes, they all did","Yes, I was aware of all of them","None did","None did","Yes, always","None of them","None of them","Some of my previous employers","Some of my previous employers","Yes, they all did","None of them",Maybe,"It might affect their opinion of me.",No,"I feel it would definitely affect my chances at being accepted.","Yes, I think it would","Yes, I think they would","Somewhat not open","Maybe/Not sure",Maybe,Yes,Maybe,No,,,No,,0,"Not applicable to me","Not applicable to me",26,Male,"United States of America","New York","United States of America","New York","Back-end Developer",Sometimes
0,"More than 1000",0,1,Yes,No,Yes,"I don't know","I don't know","Somewhat easy",No,No,Maybe,Yes,"I don't know",No,,,,,,,,,1,"Some did","Yes, I was aware of all of them","Some did","Some did","Yes, always","None of them","Some of them","Some of my previous employers","Some of my previous employers","I don't know","None of them",No,"I don't have any",No,"I don't have any",Maybe,Maybe,Neutral,No,,No,No,No,,,No,,0,"Not applicable to me","Not applicable to me",35,male,"United States of America",Indiana,"United States of America",Indiana,Other,Never
0,26-100,1,,Yes,Yes,No,No,"I don't know","Very easy",Maybe,Maybe,Maybe,No,"I don't know",No,,,,,,,,,1,"Yes, they all did","Yes, I was aware of all of them","None did","None did","I don't know","I don't know","Some of them","Some of my previous employers","Some of my previous employers","I don't know","None of them",Maybe,"depends on the illness",Maybe,,Maybe,"No, I don't think they would",Neutral,No,,"I don't know",Maybe,No,,,No,,0,"Not applicable to me","Not applicable to me",25,male,Germany,,Germany,,"Back-end Developer",Sometimes
0,1-5,1,,Yes,Yes,No,No,"I don't know","Somewhat difficult",Maybe,No,Maybe,Maybe,"I don't know",No,,,,,,,,,1,"Some did","I was aware of some","Some did","Some did","I don't know","Some of them","Some of them","Some of my previous employers","Some of my previous employers","Some did","Some of them",No,"Like all interviews, I feel like not putting your ""best foot"" forward puts you at a disadvantage.",No,"I feel like this would put you out of the running for a position almost immediately. Or at least be used as a negative mark against you.","Yes, I think it would",Maybe,"Somewhat open","Yes, I observed",Maybe,Yes,Yes,No,,,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder|Post-traumatic Stress Disorder",1,Sometimes,Often,33,Male,Canada,,Canada,,"Back-end Developer",Sometimes
1,,,,,,,,,,,,,,,,1,"I know some","Not applicable to me",N/A,"Not applicable to me","Not applicable to me","Not applicable to me",,1,"I don't know","No, I only became aware later","None did","None did","I don't know","Some of them","Some of them","Some of my previous employers","Some of my previous employers","I don't know","Some of them",Maybe,"Only if it would impact my performance to the job.",Maybe,"Again, only if it could effect my job performance",Maybe,"No, I don't think they would","Not applicable to me (I do not have a mental illness)",N/A,,No,No,No,,,No,,0,"Not applicable to me","Not applicable to me",38,Male,"United States of America","New York","United States of America","New York","Supervisor/Team Lead",Sometimes
0,100-500,0,1,Yes,Yes,"I don't know",Yes,Yes,"Very easy",No,No,Maybe,Maybe,Yes,No,,,,,,,,,0,,,,,,,,,,,,Maybe,,Maybe,,Maybe,"No, I don't think they would","Very open","Maybe/Not sure",No,No,No,No,,,No,,0,"Not applicable to me","Not applicable to me",42,male,Germany,,Germany,,"Supervisor/Team Lead|Support|Back-end Developer",Never
0,26-100,0,1,No,No,No,No,"I don't know","Very difficult",Yes,Yes,No,No,No,No,,,,,,,,,1,"No, none did","I was aware of some","Some did","None did","I don't know","Some of them","Some of them","No, at none of my previous employers","I don't know","Some did","None of them",No,"I'm afraid I wouldn't be hired for the job, even when the physical issue would not have been relevant for my work.",Maybe,"Same reason as above.","Yes, I think it would","Yes, I think they would","Somewhat open","Maybe/Not sure",Yes,"I don't know",Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Often,27,Male,Netherlands,,Netherlands,,"Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer",Sometimes
0,100-500,1,,"I don't know",No,No,No,"I don't know","Somewhat difficult",No,No,No,No,"I don't know",No,,,,,,,,,1,"No, none did","N/A (not currently aware)","None did","None did","I don't know","I don't know","Some of them","No, at none of my previous employers","No, at none of my previous employers","None did","Some of them",Maybe,,No,,"Yes, I think it would","Yes, I think they would","Somewhat not open","Maybe/Not sure",No,No,No,Maybe,,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",No,,1,Sometimes,Often,35,male,Germany,,Germany,,"Back-end Developer",Never
0,500-1000,0,1,"I don't know",No,Yes,Yes,"I don't know","Neither easy nor difficult",Maybe,No,Maybe,Maybe,"I don't know",Yes,,,,,,,,,1,"I don't know","No, I only became aware later","None did","None did","I don't know","Some of them","Some of them","No, at none of my previous employers","No, at none of my previous employers","None did","Yes, all of them",Maybe,"I'd be wary of them seeing potential time out for appointments etc as a negative",No,"I think most employers would straight up discount me for that","Yes, I think it would","No, I don't think they would",Neutral,"Yes, I observed",Yes,Yes,Yes,Maybe,,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",No,,1,Sometimes,Often,34,female,"United Kingdom",,"United Kingdom",,Other,Never
0,6-25,1,,"Not eligible for coverage / N/A",N/A,No,No,Yes,"Somewhat easy",No,No,Yes,Yes,Yes,No,,,,,,,,,1,"No, none did","N/A (not currently aware)","None did","None did","I don't know","Some of them","Some of them","No, at none of my previous employers","No, at none of my previous employers","None did","Some of them",No,"I wouldn't want to be judged against someone healthy",No,"See above","Yes, I think it would","Yes, I think they would","Somewhat not open","Yes, I observed",Maybe,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,32,Bigender,"United Kingdom",,"United Kingdom",,"Other|Supervisor/Team Lead|Support|Back-end Developer|Designer",Never
0,100-500,1,,"Not eligible for coverage / N/A",Yes,No,No,"I don't know","Somewhat easy",Maybe,No,Maybe,Maybe,No,No,,,,,,,,,0,,,,,,,,,,,,Maybe,"Depending on the exact nature of the issue I might think they wouldn't want to hire me",Maybe,"Depending on the exact nature of the issue I might think they wouldn't want to hire me","Yes, I think it would",Maybe,"Very open","Maybe/Not sure",No,Yes,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Often,32,non-binary,Germany,,Germany,,"Back-end Developer",Never
0,100-500,1,,Yes,Yes,No,Yes,Yes,"Very easy",No,No,Yes,Yes,Yes,No,,,,,,,,,1,"Some did","Yes, I was aware of all of them","None did","Some did","Yes, always","None of them","None of them","Yes, at all of my previous employers","I don't know","Yes, they all did","None of them",No,"Seems unnecessary",No,"Seems unnecessary. It's asinine to bring up unnecessary conversation ever. ","No, I don't think it would","No, they do not","Very open",No,,No,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Substance Use Disorder|Addictive Disorder",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Substance Use Disorder|Addictive Disorder",1,Often,Sometimes,30,Male,"United States of America","New York","United States of America","New York","Supervisor/Team Lead|Back-end Developer",Sometimes
