College Name,State,Public (1)/ Private (2),# appli. rec'd,# appl. accepted,# new stud. enrolled,% new stud. from top 10%,% new stud. from top 25%,# FT undergrad,# PT undergrad,in-state tuition,out-of-state tuition,room,board,add. fees,estim. book costs,estim. personal $,% fac. w/PHD,stud./fac. ratio,Graduation rate
University of Alabama at Birmingham,AL,1,1797,1260,938,24,35,6960,4698,2220,4440,1935,3240,291,750,2200,96,6.7,33
University of Alabama at Huntsville,AL,1,1376,957,445,,57,2727,3394,2480,4960,2500,1000,,600,2100,83,12.7,38
University of South Alabama,AL,1,2328,2110,1047,,,7516,2943,2208,3108,1530,1320,183,480,1470,80,13.3,43
Auburn University at Montgomery,AL,1,985,868,645,,,3477,1929,1905,5715,1650,2780,,600,2500,74,18.1,42
University of Arkansas at Monticello,AR,1,826,794,662,,,4539,357,1536,3552,840,1470,84,500,2800,54,42.6,
University of Arkansas at Pine Bluff,AR,1,1450,1360,744,,,2993,1020,1392,3216,2328,,143,450,,47,16.2,
Arkansas College (Lyon College),AR,2,708,334,166,46,74,530,182,8644,8644,2382,1540,120,500,800,79,12.6,54
Arkansas Tech University,AR,1,1734,1729,951,12,52,3602,939,1730,3460,,,60,450,1000,57,19.6,48
Arkansas State University,AR,1,2688,2633,1488,,,7212,1707,1800,3720,,,130,500,,71,20,39
University of Central Arkansas,AR,1,3131,2703,1792,,47,7402,1119,1700,3274,1440,1160,126,600,1761,71,20.5,36
University of the Ozarks,AR,2,218,215,126,15,55,570,59,4800,4800,1650,1200,120,400,2000,49,12.8,
Henderson State University,AR,1,1490,1490,771,21,47,2942,997,1440,2880,2400,,80,500,,58,19,68
Hendrix College,AR,2,823,721,274,52,87,954,6,8800,8800,1935,1260,325,500,1200,82,13.1,63
John Brown University,AR,2,605,405,284,24,53,961,99,6398,6398,1450,2222,148,400,1350,68,13.3,75
University of Arkansas at Little Rock,AR,1,1766,1322,1194,,,5753,4058,2136,5352,2435,,166,800,800,61,14.7,19
Ouachita Baptist University,AR,2,910,773,450,31,73,1310,61,6530,6530,2800,,100,500,1500,63,13.3,65
Philander Smith College,AR,2,350,350,222,12,23,701,239,2370,2370,630,630,,,,41,18.1,
Williams Baptist College,AR,2,220,210,131,12,34,509,97,3952,3952,,,150,400,600,62,18,
Southern Arkansas University,AR,1,792,792,499,26,45,2229,270,1500,2340,,,,400,,40,17,33
University of Arkansas at Fayetteville,AR,1,3235,3108,2133,25,65,9978,1530,1932,5028,3300,,122,500,2000,73,14.8,39
Harding University,AR,2,1721,1068,806,35,75,3128,213,5504,5504,1650,1878,1016,700,910,71,17.7,73
Grand Canyon University,AZ,2,497,393,169,,,1364,454,6870,6870,,,370,400,1125,56,14.2,81
Arizona State University Main campus,AZ,1,12809,10308,3761,24,49,22593,7585,1828,7434,,,66,700,2100,88,18.9,48
Northern Arizona University,AZ,1,5891,4931,1973,23,48,11249,2682,1828,6746,1890,1838,66,620,2342,78,21.7,41
University of Arizona,AZ,1,14079,12238,4529,29,57,21664,4894,1828,7434,2186,2030,66,620,2550,91,19.6,49
Prescott College,AZ,2,321,227,129,,,693,40,9800,9800,,,495,400,3522,55,2.3,
Azusa Pacific University,CA,2,1080,948,504,25,56,2032,122,15500,15500,1900,1800,206,250,750,47,12.8,
Biola University,CA,2,1118,896,459,,,2058,111,11388,11388,1984,2562,,1000,,67,16.6,36
California Baptist College,CA,2,308,262,157,,44,592,113,6370,6370,1800,2094,370,,,56,13,43
California Institute of Technology,CA,2,1916,507,210,98,100,912,,16695,16695,,,210,735,3466,100,6.5,83
California Lutheran University,CA,2,563,247,247,23,52,1427,432,12950,12950,5300,,215,612,576,72,12.4,60
California State Univ. at Fullerton,CA,1,6004,4480,1470,,,12147,6681,1606,8990,3476,,1606,600,,88,19.9,56
California State Univ. at Hayward,CA,1,2121,698,1126,,,6790,2988,1432,8803,2550,,,450,,,20.5,47
California State Univ. at Long Beach,CA,1,10278,7746,2576,,,,,1053,8233,4400,,,,,80,20.3,48
California State Univ. at Los Angeles,CA,1,5609,2756,1268,,,9358,5222,1788,7454,2900,,119,577,,53,20.4,49
California State Univ. at Dominguez Hills,CA,1,1493,1194,428,,,4246,2457,1440,8820,,2116,,,,90,18.1,24
California State Univ. at San Bernardino,CA,1,2329,1619,1521,,,6609,4398,,,,,,,,93,20.3,49
California Polytechnic-San Luis,CA,1,7811,3817,1650,47,73,12911,1404,2033,7380,2335,2542,20,612,2091,72,19.8,59
California Poly-Pomona,CA,1,5945,3887,1566,,60,11177,4027,,5904,2499,2363,1720,630,2430,73,18.5,50
California State University at Chico,CA,1,4816,3922,1278,,75,11822,1343,,5904,2020,3030,1982,612,2100,,18.9,63
California State University at Fresno,CA,1,4540,3294,1483,5,60,13494,1254,1802,7706,,,,600,1926,90,21.2,61
Humboldt State University,CA,1,3467,2190,565,,,5637,678,1599,9979,4200,,1467,600,800,80,16.4,65
California State University at Sacramento,CA,1,4348,3026,1234,,,13724,8161,1716,9096,,,,700,,79,19.2,47
San Diego State University,CA,1,9402,7020,2151,20,70,16407,5550,1742,8384,3556,,,612,2400,87,19.5,41
California State University at Northridge,CA,1,7672,5331,2157,,33,15567,7544,1440,5904,,,1520,576,1464,,20.3,43
San Francisco State University,CA,1,5385,3539,1259,,,13165,5937,1584,8964,,,352,630,2286,75,17.4,55
San Jose State University,CA,1,5210,4094,1420,,,14392,7263,1976,8820,1680,2544,194,350,2204,72,17.4,46
Sonoma State University,CA,1,2726,982,557,47,84,4239,1259,,7830,3348,1841,2106,610,1650,79,16.1,40
California State University at Stanislaus,CA,1,1042,830,461,,,2895,1678,1584,8868,,,,650,,89,15.3,
United States International University,CA,2,322,168,51,,,237,67,11760,11760,4225,,90,630,1836,90,15.7,23
Chapman University,CA,2,959,771,351,23,48,1662,209,16624,16624,5895,,521,600,1100,72,12.8,47
Claremont McKenna College,CA,2,1860,767,227,71,93,887,1,17000,17000,3160,2850,140,500,850,99,9.6,87
Harvey Mudd College,CA,2,1377,572,178,95,100,654,5,17230,17230,3320,3370,465,700,900,100,8.2,100
Pitzer College,CA,2,1133,630,220,37,73,750,30,17688,17688,3192,2708,1548,650,850,100,10.4,73
Pomona College,CA,2,3037,1130,390,80,98,1500,,17720,17720,,,180,800,1000,94,8.9,91
Scripps College,CA,2,855,632,139,60,83,569,7,17238,17238,3500,3850,112,600,800,95,8.2,73
College of Notre Dame,CA,2,344,264,97,11,42,500,331,12600,12600,5520,,,630,2250,77,10.4,43
Holy Names College,CA,2,258,157,43,,,273,317,11480,11480,,,290,630,2034,75,7.8,44
Dominican College of San Rafael,CA,2,213,173,75,,,648,150,12790,12790,6100,,250,650,2250,56,11.6,50
La Sierra University,CA,2,659,530,325,,,1067,268,12180,12180,2160,1695,195,683,2438,69,12.6,49
University of La Verne,CA,2,1597,969,226,16,38,1431,1522,13540,13540,5050,,,630,2298,66,14.1,47
Menlo College,CA,2,315,275,115,,,553,9,13975,13975,6200,,690,500,,46,15.4,
Mills College,CA,2,529,414,132,32,66,781,43,14100,14100,,3000,442,600,1370,,10.3,64
Mount St. Mary's College,CA,2,657,537,113,37,90,1039,466,12474,12474,5678,,425,630,1278,53,11.9,72
Occidental College,CA,2,2324,1319,370,52,81,1686,35,16560,16560,2980,2160,334,558,1152,91,10.5,79
Pacific Christian College,CA,2,167,142,89,9,41,414,165,6500,6500,3000,,490,500,,38,10.7,67
Fresno Pacific College,CA,2,346,274,146,51,87,704,63,9900,9900,1500,2170,174,630,1818,59,10.5,54
Pacific Union College,CA,2,940,668,385,20,48,1316,139,11925,11925,1590,2235,,630,1926,48,12.3,69
Point Loma Nazarene College,CA,2,809,687,428,20,43,1889,217,10176,10178,,,134,800,750,71,16.1,54
Pepperdine University,CA,2,3821,2037,680,86,96,2488,625,18200,18200,3750,3020,70,500,700,95,11.6,66
Southern California College,CA,2,385,340,193,18,38,784,127,9520,9520,1980,2144,340,630,1818,63,18.6,43
St. Mary's College of California,CA,2,2643,1611,465,36,80,2615,248,13332,13332,3177,3177,120,630,1584,88,16.1,78
Stanford University,CA,2,13608,2926,1616,88,97,6573,,18669,18669,,,,840,1355,,9.7,96
University of California at Berkeley,CA,1,19873,8252,3215,95,100,19532,2061,3949,11648,,,,636,1933,93,15.8,78
University of California at Davis,CA,1,16343,11399,3124,95,100,15429,1888,,7699,,,4374,841,2374,,14.5,76
University of California at Irvine,CA,1,15698,10775,2478,85,100,12677,864,4325,12024,,,,790,1818,96,16.1,66
University of California at Los Angeles,CA,1,22165,10435,3591,93,100,21637,1255,,7689,,,3894,850,1255,97,11.8,77
University of California at Riverside,CA,1,9798,7566,1470,80,100,6922,265,,7699,,,4092,780,1350,98,13.4,62
University of California at San Diego,CA,1,19433,11469,2481,95,100,13738,711,,7699,,,4128,630,1935,100,13.9,66
University of California at Santa Barbara,CA,1,16663,14141,3239,90,100,15638,693,,11218,,,4372,630,2045,96,18.9,69
University of California at Santa Cruz,CA,1,10758,8559,1717,94,100,8713,607,,7699,6081,,4110,633,1191,94,21.3,59
University of Redlands,CA,2,1498,1219,306,26,63,1369,1587,16530,16530,2795,3410,405,600,,81,8.9,73
University of San Francisco,CA,2,2306,1721,538,23,48,4309,549,13226,13226,3846,2606,100,750,2450,86,13.6,62
Santa Clara University,CA,2,4019,2779,888,40,73,3891,128,13584,13584,5928,,396,630,1278,88,13.9,100
University of Southern California,CA,2,12229,8498,2477,45,71,13259,1429,17230,17230,3566,2916,330,600,2210,90,11.4,68
University of the Pacific,CA,2,2459,1997,582,36,66,2664,299,16320,16320,,,330,646,1171,87,11.2,65
Westmont College,CA,1,950,713,351,42,72,1276,9,14320,14320,3080,2224,866,490,1410,77,14.9,87
Whittier College,CA,2,1681,1069,344,35,63,1235,30,16249,16249,5699,,579,500,1998,84,13.6,52
Woodbury University,CA,2,349,313,111,,,765,191,13020,13020,,,840,900,2160,28,13.5,54
University of Judaism,CA,2,52,36,18,,,88,12,10560,10560,,,428,825,2325,100,7.2,55
San Francisco Art Institute,CA,2,177,136,41,,,438,103,14500,14500,5600,,,1200,1620,,14.4,30
California State Univ. at Bakersfield,CA,1,941,643,415,,66,2571,1263,1204,8725,,3475,914,300,,82,13.4,24
University of San Diego,CA,2,3934,2735,886,40,70,3698,217,13600,13600,,,100,630,1820,93,15.6,66
Thomas Aquinas College,CA,2,125,87,67,22,59,208,,13400,13400,,,,300,1400,68,10.9,71
Loyola Marymount University,CA,2,3768,2662,753,42,64,3558,436,13592,13592,3276,2640,176,545,1328,84,14.2,84
Concordia University,CA,2,688,497,144,30,75,641,101,10800,10800,2520,1920,690,570,1515,55,13.1,55
Adams State College,CO,1,1508,1259,569,16,44,1922,232,1386,1672,1820,1910,374,520,2200,63,27.9,60
Colorado College,CO,2,3207,1577,490,56,87,1892,7,17142,17142,2114,2076,120,450,1200,85,11.3,84
University of Northern Colorado,CO,1,5530,4007,1697,12,37,8463,1498,1829,7731,,,398,540,2286,75,21.5,40
Colorado State University,CO,1,9478,6312,2194,29,65,15646,1829,2124,8412,4180,,585,470,1800,87,19.2,59
Fort Lewis College,CO,1,3440,2823,1123,16,35,3793,486,1450,6198,1820,1500,327,500,2500,89,19.1,46
Mesa State College,CO,1,1584,1456,891,6,18,3471,911,1434,5016,1782,2016,380,540,2256,48,28.8,59
Metropolitan State College,CO,1,3512,2975,1662,6,23,9544,8177,1494,5790,,,129,500,1205,75,21.1,25
Regis University,CO,2,1107,904,308,,,1142,27,12700,12700,2700,2780,60,520,1170,90,14.8,53
University of Southern Colorado,CO,1,1401,1239,605,10,34,3716,675,1644,7100,1756,2624,324,540,2948,63,19.4,36
United States Air Force Academy,CO,1,9557,1605,1160,72,95,4236,,,,,,,,,40,8.2,88
University of Colorado at Boulder,CO,1,14063,9320,3436,28,65,18465,1541,2230,12563,3811,,459,540,2319,90,19.9,66
University of Denver,CO,2,2974,2001,580,29,60,2666,554,15192,15192,4695,,330,400,1350,84,15.9,67
Western State College of Colorado,CO,1,2702,1623,604,7,24,2315,146,1819,5918,1936,1819,507,500,2050,76,19.4,52
University of Colorado at Colorado Springs,CO,1,826,620,318,12,39,2570,1569,2475,8090,,,,540,2888,93,15,
University of Colorado at Denver,CO,1,1199,562,261,30,74,3805,2728,1828,9244,,,240,520,2138,89,18.1,24
Colorado Christian University,CO,2,735,583,310,9,,1001,65,6720,6720,3480,,550,400,3725,56,8.6,
Albertus Magnus College,CT,2,353,340,103,17,45,416,230,13290,13290,5720,,200,500,1500,90,11.5,63
Central Connecticut State University,CT,1,4158,2532,902,6,24,6394,3881,1842,5962,2384,2060,1298,500,985,69,16.7,49
Connecticut College,CT,2,3035,1546,438,42,93,1630,232,18740,18740,2935,3365,210,600,500,86,10.7,91
Western Connecticut State University,CT,1,2486,1503,528,7,23,2818,1861,1842,5962,2174,1762,1218,,,69,15.5,
Fairfield University,CT,2,4784,3346,781,30,66,2984,1037,15000,15000,6200,,310,700,1100,86,15.1,94
University of New Haven,CT,2,1651,1412,336,,11,1411,1914,10600,10600,3120,1900,200,500,,79,15.6,79
Teikyo Post University,CT,2,345,297,92,13,26,570,1273,11300,11300,5400,,250,400,1000,30,12.2,
Quinnipiac College,CT,2,3712,2153,806,17,45,2677,714,12030,12030,6140,,590,1000,500,63,12,86
Sacred Heart University,CT,2,2307,1896,509,19,51,1707,1889,11070,11070,4090,1690,320,400,600,71,14.8,82
Southern Connecticut State University,CT,1,3852,2652,1044,4,14,5892,2478,1842,5962,2180,2616,1190,700,,62,15.8,45
Saint Joseph College,CT,2,292,241,96,20,52,543,712,12200,12200,2200,2400,200,650,950,87,11.2,76
Trinity College,CT,2,3058,1798,478,46,84,1737,244,18810,18810,3540,2150,780,500,680,91,10.4,91
United States Coast Guard Academy,CT,1,5099,466,277,72,97,930,,,,,,,,,31,8.3,71
University of Bridgeport,CT,2,598,441,153,16,36,527,312,12500,12500,3700,3110,624,500,500,76,7.9,51
University of Hartford,CT,2,5081,4040,1194,11,26,3768,1415,14220,14220,2300,3700,690,500,1440,61,10.7,66
Wesleyan University,CT,2,4772,1973,712,60,86,2714,27,19130,19130,3290,2310,660,1400,1400,90,12.1,92
Eastern Connecticut State University,CT,1,2172,1493,564,14,50,2766,1531,1842,5962,2436,1880,1513,650,500,71,16.9,50
Yale University,CT,2,10705,2453,1317,95,99,5217,83,19840,19840,3040,3470,,630,2115,96,5.8,99
University of Connecticut at Storrs,CT,1,9735,7187,2064,23,63,12478,1660,3824,11656,2552,2520,888,700,2300,89,16,71
American University,DC,2,4613,3587,1048,35,77,4545,873,15934,15934,2440,3960,210,450,800,,13.6,69
Catholic University of America,DC,2,1754,1465,505,24,49,2159,211,13712,13712,3622,2786,460,526,1100,90,9.3,75
Gallaudet University,DC,2,825,645,392,,,1541,221,4700,4700,3100,2300,330,663,2343,58,6.6,
George Washington University,DC,2,7875,5062,1492,38,71,5471,1470,17450,17450,3998,2330,720,700,950,92,7.6,72
Georgetown University,DC,2,11115,2881,1390,71,93,5881,406,18300,18300,2590,4541,156,670,1700,91,7.2,95
Howard University,DC,2,9776,3164,1666,,,6705,874,7128,7128,2050,1700,615,300,,78,7.5,46
Mount Vernon College,DC,2,149,70,61,15,35,203,138,13780,13780,3107,3808,500,500,500,84,5.7,
Trinity College,DC,2,247,189,100,19,49,309,639,11412,11412,2900,3530,150,500,900,89,8.3,96
Univ. of the District of Columbia,DC,1,3895,3866,1717,,,3658,6327,974,3566,,,115,1550,,51,11.7,
Delaware State College,DE,1,2611,1845,764,,,,,4878,4878,2210,1600,110,,,60,13.7,26
Goldey Beacom College,DE,2,633,468,284,10,27,823,963,6120,6120,,2985,,531,1830,25,27.6,36
University of Delaware,DE,2,14446,10516,3252,22,57,14130,4522,3690,10220,2280,1950,410,530,1300,82,18.3,75
Wesley College,DE,2,980,807,350,10,25,872,448,9890,9890,2450,2224,405,500,1350,52,14.4,84
Wilmington College,DE,2,1275,1275,635,,,615,1047,5340,5340,,,50,400,2000,46,12.5,56
Barry University,FL,2,990,784,279,18,45,1811,3144,11290,11290,5360,,240,600,1800,76,12.6,72
Bethune Cookman College,FL,2,1646,1150,542,12,30,2128,82,5188,5188,1541,1855,427,650,2500,48,13.8,58
St. Thomas University,FL,2,492,370,236,10,30,1125,482,9600,9600,,,380,600,1890,,23.2,33
Florida Institute of Technology,FL,2,1947,1580,523,39,74,1863,233,13900,13900,1740,2400,400,750,1500,90,10.6,57
Clearwater Christian College,FL,2,161,156,101,,,409,43,5200,5200,3400,,500,500,400,55,15.1,
Embry Riddle Aeronautical University,FL,2,3151,2584,958,14,40,4772,856,7800,7800,2050,1700,80,570,3020,37,16.5,44
Florida A&M University,FL,1,4880,2899,1463,,40,7931,1357,1749,6651,1076,1592,80,600,,87,11.8,
Florida Atlantic University,FL,1,3181,2089,826,,,6035,6414,1800,6700,1940,2120,,600,2270,90,15.6,48
Florida Memorial College,FL,2,2400,1800,557,,,1312,176,4160,4160,1680,1510,780,500,1000,38,17.1,35
Eckerd College,FL,2,1422,1109,366,33,65,1363,23,15360,15360,,,250,600,1000,82,12.8,59
Florida Southern College,FL,2,1381,1040,374,20,44,1506,970,8025,8025,2100,2765,605,400,650,65,17.4,68
Florida State University,FL,1,11651,8683,3023,50,90,18906,3242,1780,6680,1910,2150,,600,1020,80,23.1,58
Jacksonville University,FL,2,1344,1008,305,16,34,1556,517,9600,9600,2020,2360,480,700,1400,61,12.1,
Lynn University,FL,2,1292,956,315,,,1250,200,13900,13900,2450,3150,300,400,1100,69,19,65
Nova Southeastern University,FL,2,1025,770,257,,,1893,1220,8550,8550,2880,1860,250,720,4029,90,20.4,23
Rollins College,FL,2,1777,1151,382,31,55,1668,1052,16425,16425,2830,2390,470,955,750,81,13.3,90
St. Leo College,FL,2,990,683,201,,,3400,3731,9150,9150,2340,2310,826,525,800,47,72.4,
Stetson University,FL,2,1557,1227,489,37,69,1964,81,12315,12315,2165,2400,555,600,1365,85,12.5,73
University of Florida,FL,1,12445,8836,3623,54,85,24470,3286,1820,7090,1960,2220,,630,1530,88,13.4,66
University of Miami,FL,2,7122,5386,1643,42,69,7760,876,16500,16500,3810,2716,180,630,1985,82,5.9,59
University of South Florida,FL,1,7589,4676,1876,29,63,14770,10962,1856,6760,1806,1970,,500,2180,84,17,47
University of Tampa,FL,2,1675,1190,325,,,1812,374,11690,11690,2016,2548,640,700,1000,,13.9,
Webber College,FL,2,280,143,79,5,27,327,110,5590,5590,1930,970,,650,1952,53,15.1,90
University of Central Florida,FL,1,6986,2959,1918,25,60,12330,7152,1716,6618,2410,1824,95,700,1600,80,22.2,46
University of West Florida,FL,1,1558,1254,472,20,57,3754,2477,1597,6172,,,,541,1387,83,23.4,53
Flagler College,FL,2,1415,714,338,18,52,1345,44,5120,5120,1260,1940,,500,2140,52,18.1,69
Warner Southern College,FL,2,400,280,134,,,397,62,6200,6200,1500,1770,380,320,,53,14.4,42
Palm Beach Atlantic College,FL,2,729,625,349,,,1432,334,7900,7900,3400,,,500,500,,19,38
Florida International University,FL,1,3306,2079,1071,42,89,10208,9310,1695,6597,2494,,80,800,3028,81,13.9,66
University of North Florida,FL,1,1800,1253,560,44,85,3876,3588,1732,6634,,,,600,2604,82,17.8,47
Agnes Scott College,GA,2,417,349,137,60,89,510,63,12960,12960,5450,,135,450,875,92,7.7,59
Albany State College,GA,1,1461,1097,580,10,22,2035,321,1772,4535,2754,,390,675,763,65,17,62
Armstrong State College,GA,1,2186,1835,1263,,,2796,2391,2028,5604,,,,450,950,45,10.5,88
Clark Atlanta University,GA,2,4502,2497,790,,,2844,88,7908,7908,2168,2070,200,600,1500,63,14.9,53
Augusta College,GA,1,1452,1158,870,,,2902,1825,1422,4266,,,210,495,1950,65,18.9,38
Berry College,GA,2,1858,1221,480,37,68,1620,49,8050,8050,1960,1980,,350,2375,80,16.3,63
Brenau University,GA,2,367,274,158,12,41,917,479,9592,9592,,,,500,700,71,13.7,49
Brewton-Parker College,GA,2,1436,1228,1202,10,26,1320,822,4371,4371,1320,1050,130,500,2000,62,12.6,18
Columbus College,GA,1,1348,1050,774,,,2873,1736,1381,2763,3375,,219,800,300,61,16.5,32
Emory University,GA,2,8506,4168,1236,76,97,5544,192,17600,17600,3600,2400,230,600,870,97,5,96
Fort Valley State College,GA,1,2092,1474,649,,,1903,221,1341,2682,1290,1080,385,,,59,13.9,39
Georgia Institute of Technology,GA,1,7837,4527,2276,89,99,8528,654,1899,6489,4438,,444,795,1164,92,19.3,70
Southern College of Technology,GA,1,652,503,297,,,2229,1283,1341,4023,2004,1215,207,465,1600,52,17.3,36
Georgia Southern University,GA,1,8388,5423,3034,,,11404,1007,1808,4571,2987,,,450,,60,19.7,46
Georgia Southwestern College,GA,1,860,716,330,,,1703,473,1578,4158,1395,1020,,,,50,18.1,26
Georgia State University,GA,1,3793,2341,1238,9,24,7732,9054,2154,6744,2655,,246,720,3450,87,19,34
Kennesaw State College,GA,1,2402,1824,1161,,,5438,5556,1422,2844,,,183,450,1835,62,19.8,21
LaGrange College,GA,2,544,399,177,15,35,600,363,6987,6987,,,285,750,1500,77,12.5,75
Mercer University,GA,2,2286,1668,564,37,70,2943,1260,11985,11985,2160,1921,,400,1500,93,9.2,91
Morehouse College,GA,2,3708,1678,722,41,66,2852,153,7050,7050,3140,2350,1420,250,600,71,17.8,83
Morris Brown College,GA,2,6407,1500,595,,,1752,125,6770,6770,4438,,966,600,650,49,15.7,21
North Georgia College,GA,1,1612,1077,775,,45,2023,316,1382,4145,2445,,294,180,,60,17.5,53
Oglethorpe University,GA,2,792,649,186,56,87,769,377,12900,12900,4340,,60,600,4110,91,13.1,67
Paine College,GA,2,1322,636,225,,,589,97,5460,5460,1704,1110,300,500,1505,48,10.9,27
Piedmont College,GA,2,663,562,127,20,40,641,63,5640,5640,1670,1680,,600,750,89,13.2,31
Savannah State College,GA,1,1702,1448,726,12,39,2726,472,1800,3200,2145,,,,,60,19,48
Shorter College,GA,2,540,445,165,23,70,1115,111,7210,7210,,,110,500,2000,62,13.2,58
Spelman College,GA,2,3713,1237,443,47,83,1971,107,7000,7000,2565,3000,1222,660,2400,73,12.5,65
Toccoa Falls College,GA,2,,,182,18,36,781,82,6072,6072,,,,400,3036,48,16.8,54
University of Georgia,GA,1,11220,7871,3320,43,79,19553,2748,1899,5697,1770,1830,453,525,1755,88,14.7,63
Valdosta State University,GA,1,3674,3247,1586,,,5982,1418,1770,4617,1650,1290,,600,1200,67,20,45
Wesleyan College,GA,2,305,287,109,38,,382,46,11500,11500,,,460,515,1374,68,7.6,52
West Georgia College,GA,1,3668,2604,1331,,,4538,1179,1806,4650,1425,1548,378,490,1200,59,19.2,40
Georgia College,GA,1,1868,1788,829,,,3467,1167,1694,4457,1434,1305,312,450,500,70,21.4,52
Covenant College,GA,2,407,317,181,21,48,468,31,9700,9700,1980,1764,150,470,1120,73,19,56
Savannah Coll. of Art and Design,GA,2,1109,688,386,20,65,1897,208,8325,8325,3050,1950,450,1200,1600,14,16.1,55
Chaminade University of Honolulu,HI,2,621,546,103,,,766,1154,10600,10600,2720,2770,,700,800,63,14.1,
Brigham Young University - Hawaii,HI,2,1038,533,428,21,42,2008,23,1780,1780,,3360,,,,64,16.8,
University of Hawaii at Manoa,HI,1,3580,2603,1627,36,69,11028,2411,1460,4460,1808,1230,97,687,1281,85,11.8,54
Hawaii Pacific University,HI,2,1827,1409,1169,,,4312,2302,6300,6300,,,200,500,,59,23.3,
University of Hawaii at Hilo,HI,1,1499,779,500,20,54,2082,871,480,2920,,,50,714,1277,72,15.8,31
Briar Cliff College,IA,2,392,351,155,16,44,738,430,10260,10260,3597,,150,600,1500,39,13.1,58
Buena Vista College,IA,2,860,688,285,32,70,1928,442,13306,13306,1997,1800,,450,950,62,8.8,78
Central College,IA,2,1283,1113,401,31,65,1355,40,10938,10938,1638,2022,141,650,600,76,13.5,67
Clarke College,IA,2,460,340,167,14,45,604,350,10740,10740,1838,1838,225,350,900,67,11,74
Coe College,IA,2,1006,742,275,29,60,1127,205,13925,13925,2400,1990,125,500,2200,73,12.7,67
Cornell College,IA,2,1538,1329,383,33,68,1140,10,15248,15248,1978,2345,125,550,800,71,12.2,64
Dordt College,IA,2,604,562,328,25,50,1048,56,9800,9800,1200,1450,60,450,2800,61,12.5,87
Drake University,IA,2,2799,2573,839,34,65,3322,726,13420,13420,2148,2422,,560,1675,88,15,77
Graceland College,IA,2,555,414,242,14,41,996,2281,9100,9100,1130,1970,100,550,880,51,23.6,47
Grand View College,IA,2,535,511,233,11,36,1098,380,9820,9820,2000,1360,50,570,2800,32,12.6,32
Grinnell College,IA,2,2039,1389,432,56,91,1333,30,15688,15688,2120,2498,374,400,400,88,9.5,83
Iowa State University,IA,1,8427,7424,3441,26,59,18676,1715,2291,7550,3224,,162,640,2055,81,19.2,65
