Call  Failure,Complains,Subscription  Length,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Status,Churn
8,0,43,6760,96,201,32,1,0
5,0,43,1135,24,15,17,0,0
7,0,44,970,24,28,14,0,0
5,0,43,260,10,15,6,0,1
8,0,43,7768,137,399,49,1,0
12,0,43,11725,164,26,53,1,0
13,0,43,6978,85,123,43,1,0
28,1,39,1215,57,31,23,0,1
26,0,42,10695,103,16,48,1,0
18,0,42,6078,108,41,30,1,0
6,0,40,3100,32,15,20,1,0
14,1,41,3250,51,24,22,0,1
14,1,42,2528,54,49,37,0,1
5,0,42,393,12,15,8,0,1
6,0,42,1928,35,15,12,1,0
8,0,39,7045,107,29,28,1,0
5,0,42,888,17,24,10,0,1
5,0,42,598,14,19,8,1,0
30,1,37,16335,248,15,86,1,0
11,1,40,7225,126,286,39,1,0
7,0,42,3978,92,17,34,1,0
8,0,41,1925,54,53,26,0,0
11,0,42,3040,63,190,29,1,0
9,0,33,1575,46,208,17,1,0
9,0,32,1828,49,45,74,1,0
16,0,33,960,35,25,13,0,0
5,0,32,1085,20,36,9,0,0
15,0,31,1485,42,34,19,1,0
7,0,31,3485,71,23,29,1,0
7,0,24,1955,36,43,20,1,0
21,0,23,6653,151,100,48,1,0
17,0,21,9193,181,88,46,1,0
13,0,22,3113,55,46,25,1,0
7,0,15,4650,50,230,16,1,0
8,1,15,1748,29,15,13,1,1
3,0,32,4110,61,0,11,1,0
0,0,33,0,0,0,0,0,0
5,0,31,2193,50,344,18,1,0
5,0,32,3938,56,0,29,1,0
0,0,32,2133,48,0,27,1,0
6,0,32,3515,72,17,22,1,0
0,0,32,2100,29,270,12,1,0
8,0,31,8855,111,129,37,1,0
2,0,32,13513,159,0,38,1,0
2,0,32,4255,73,0,19,1,0
1,0,32,5658,85,0,6,1,0
4,0,32,1978,44,0,11,0,0
20,0,32,14880,215,39,26,1,0
0,0,32,2835,17,468,2,1,0
4,0,31,15225,172,135,24,1,0
0,0,31,6240,76,171,20,1,0
0,0,31,615,4,0,5,0,0
0,0,32,450,4,0,2,0,0
0,0,31,0,0,0,0,0,1
0,0,31,7248,117,369,37,1,0
2,0,31,11205,144,0,41,1,0
3,0,31,6458,65,93,31,1,0
18,1,27,695,37,1,11,0,1
16,0,30,10175,83,0,36,1,0
8,1,30,5558,88,11,18,1,1
0,0,28,2580,12,0,8,1,0
4,0,29,2730,31,0,10,0,1
4,1,30,2008,34,19,25,0,1
0,0,30,0,0,0,0,0,1
0,0,30,0,0,0,0,1,0
0,0,27,6525,87,0,16,1,0
0,1,30,0,0,0,0,0,1
0,1,30,0,0,0,0,1,1
20,0,25,15815,228,0,74,1,0
1,0,28,6705,106,256,27,1,0
0,0,30,3458,72,0,22,1,0
0,0,29,1405,34,23,14,0,0
1,0,30,2520,43,160,17,1,0
0,0,21,1055,26,178,5,1,0
0,0,20,1308,29,15,62,1,0
6,0,21,440,15,0,1,0,0
0,0,20,0,0,6,0,0,0
5,0,19,965,22,4,7,1,0
0,0,19,2965,51,0,17,1,0
0,0,12,1435,16,13,8,1,0
11,0,11,6133,131,70,36,1,0
7,0,9,8673,161,58,34,1,0
3,0,10,2593,35,16,13,1,0
0,0,3,4130,30,200,4,1,0
0,1,3,1228,9,0,1,1,1
10,0,41,4550,79,16,22,1,0
2,0,42,498,13,18,9,0,0
12,0,40,2633,68,370,29,1,0
12,0,41,4378,74,12,40,1,0
5,0,41,2573,66,13,38,1,0
13,0,41,3955,90,43,33,1,0
6,0,41,2540,47,296,23,1,0
15,0,40,9295,129,155,48,1,0
9,0,41,13953,177,11,49,1,0
9,0,41,4695,91,13,30,1,0
8,0,41,6098,103,18,17,1,0
11,0,41,2418,62,19,22,0,0
27,0,41,15320,233,65,37,1,0
6,0,41,3275,35,494,13,1,0
11,0,40,15665,190,161,35,1,0
5,0,40,6680,94,197,31,1,0
2,0,40,1055,22,11,16,0,0
4,0,41,890,22,24,13,0,0
2,0,40,180,8,11,5,0,1
5,0,40,7688,135,395,48,1,0
9,0,40,11645,162,22,52,1,0
10,0,40,6898,83,119,42,1,0
25,1,36,1135,55,27,22,0,1
23,0,39,10615,101,12,47,1,0
15,0,39,5998,106,37,29,1,0
3,0,37,3020,30,11,19,1,0
11,1,38,3170,49,20,21,0,1
11,1,39,2448,52,45,36,0,1
2,1,39,313,10,11,7,0,1
3,0,39,1848,33,11,11,1,0
5,0,36,6965,105,25,27,1,0
2,0,39,808,15,20,9,0,1
2,0,39,518,12,15,7,1,0
27,1,34,16255,246,11,85,1,0
8,0,37,7145,124,282,38,1,0
4,0,39,3898,90,13,33,1,0
5,0,38,1845,52,49,25,0,0
8,0,39,2960,61,186,28,1,0
6,1,30,1495,44,204,16,1,1
6,0,29,1748,47,41,73,1,0
13,0,30,880,33,21,12,0,0
2,0,29,1005,18,32,8,0,0
12,0,28,1405,40,30,18,1,0
4,0,28,3405,69,19,28,1,0
4,0,21,1875,34,39,19,1,0
18,0,20,6573,149,96,47,1,0
14,0,18,9113,179,84,45,1,0
10,0,19,3033,53,42,24,1,0
4,0,12,4570,48,226,15,1,0
5,0,12,1668,27,11,12,1,1
6,0,35,4190,63,0,12,1,0
0,0,36,0,0,0,0,0,0
8,0,34,2273,52,348,19,1,0
8,0,35,4018,58,0,30,1,0
1,0,35,2213,50,0,28,1,0
9,0,35,3595,74,21,23,1,0
2,0,35,2180,31,274,13,1,0
11,0,34,8935,113,133,38,1,0
5,0,35,13593,161,0,39,1,0
5,0,35,4335,75,0,20,1,0
4,0,35,5738,87,0,7,1,0
7,0,35,2058,46,0,12,0,0
23,0,35,14960,217,43,27,1,0
2,0,35,2915,19,472,3,1,0
7,0,34,15305,174,139,25,1,0
1,0,34,6320,78,175,21,1,0
0,0,34,695,6,0,6,0,0
0,0,35,530,6,2,3,0,0
0,1,34,0,0,0,0,0,1
1,0,34,7328,119,373,38,1,0
5,0,34,11285,146,0,42,1,0
6,0,34,6538,67,97,32,1,0
21,1,30,775,39,5,12,0,1
19,0,33,10255,85,0,37,1,0
11,1,33,5638,90,15,19,1,1
0,0,31,2660,14,0,9,1,0
7,0,32,2810,33,0,11,0,1
7,1,33,2088,36,23,26,0,1
0,0,33,0,0,0,0,0,1
0,0,33,1488,17,0,1,1,0
1,0,30,6605,89,3,17,1,0
0,0,33,0,0,0,0,0,1
0,0,33,0,0,0,0,1,0
23,0,28,15895,230,0,75,1,0
4,0,31,6785,108,260,28,1,0
0,0,33,3538,74,0,23,1,0
1,0,32,1485,36,27,15,0,0
4,0,33,2600,45,164,18,1,0
2,0,24,1135,28,182,6,1,0
2,0,23,1388,31,19,63,1,0
9,0,24,520,17,0,2,0,0
0,0,23,0,0,10,0,0,0
8,0,22,1045,24,8,8,1,0
0,0,22,3045,53,0,18,1,0
0,0,15,1515,18,17,9,1,0
14,0,14,6213,133,74,37,1,0
10,0,12,8753,163,62,35,1,0
6,0,13,2673,37,20,14,1,0
0,0,6,4210,32,204,5,1,0
1,0,6,1308,11,0,2,1,1
12,0,38,4970,81,26,32,1,0
4,0,39,918,15,28,19,0,0
14,0,37,3053,70,380,39,1,0
14,0,38,4798,76,22,50,1,0
7,0,38,2993,68,23,48,1,0
15,0,38,4375,92,53,43,1,0
8,0,38,2960,49,306,33,1,0
17,0,37,9715,131,165,58,1,0
11,0,38,14373,179,21,59,1,0
11,0,38,5115,93,23,40,1,0
10,0,38,6518,105,28,27,1,0
13,0,38,2838,64,29,32,0,0
29,0,38,15740,235,75,47,1,0
8,0,38,3695,37,504,23,1,0
13,0,37,16085,192,171,45,1,0
7,0,37,7100,96,207,41,1,0
4,0,37,1475,24,21,26,0,0
6,0,38,1310,24,34,23,0,0
4,0,37,600,10,21,15,0,1
7,0,37,8108,137,405,58,1,0
11,0,37,12065,164,32,62,1,0
12,0,37,7318,85,129,52,1,0
27,1,33,1555,57,37,32,0,1
25,0,36,11035,103,22,57,1,0
17,0,36,6418,108,47,39,1,0
5,0,34,3440,32,21,29,1,0
13,1,35,3590,51,30,31,0,1
13,1,36,2868,54,55,46,0,1
4,0,36,733,12,21,17,0,1
5,0,36,2268,35,21,21,1,0
7,0,33,7385,107,35,37,1,0
4,0,36,1228,17,30,19,0,1
4,0,36,938,14,25,17,1,0
29,0,31,16675,248,21,95,1,0
10,0,34,7565,126,292,48,1,0
6,0,36,4318,92,23,43,1,0
7,1,35,2265,54,59,35,0,1
10,0,36,3380,63,196,38,1,0
8,0,27,1915,46,214,26,1,0
8,0,26,2168,49,51,83,1,0
15,0,27,1300,35,31,22,0,0
4,0,26,1425,20,42,18,0,0
14,0,25,1825,42,40,28,1,0
6,0,25,3825,71,29,38,1,0
6,0,18,2295,36,49,29,1,0
20,0,17,6993,151,106,57,1,0
16,0,15,9533,181,94,55,1,0
12,0,16,3453,55,52,34,1,0
6,0,9,4990,50,236,25,1,0
7,1,9,2088,29,21,22,1,1
4,0,38,3770,61,0,2,1,0
0,0,39,0,0,0,0,0,0
6,0,37,1853,50,338,9,1,0
6,0,38,3598,56,0,20,1,0
0,0,38,1793,48,0,18,1,0
7,0,38,3175,72,11,13,1,0
0,0,38,1760,29,264,3,1,0
9,0,37,8515,111,123,28,1,0
3,0,38,13173,159,0,29,1,0
3,0,38,3915,73,0,10,1,0
2,0,38,5318,85,0,15,1,0
5,0,38,1638,44,0,2,0,0
21,0,38,14540,215,33,17,1,0
0,0,38,2495,17,462,7,1,0
5,0,37,14885,172,129,15,1,0
0,0,37,5900,76,165,11,1,0
0,0,37,275,4,0,1,0,0
0,0,38,110,4,0,1,0,0
0,0,37,0,0,0,0,0,1
0,0,37,6908,117,363,28,1,0
3,0,37,10865,144,0,32,1,0
4,0,37,6118,65,87,22,1,0
19,0,33,355,37,0,2,0,1
17,0,36,9835,83,0,27,1,0
9,1,36,5218,88,5,9,1,1
0,0,34,2240,12,0,4,1,0
5,0,35,2390,31,0,1,0,1
5,0,36,1668,34,13,16,0,1
0,0,36,0,0,0,0,0,1
0,0,36,1068,15,0,3,1,0
0,0,33,6185,87,0,7,1,0
0,0,36,0,0,0,0,0,1
0,0,36,0,0,0,0,1,0
21,0,31,15475,228,0,65,1,0
2,0,34,6365,106,250,18,1,0
0,0,36,3118,72,0,13,1,0
0,0,35,1065,34,17,5,0,0
2,0,36,2180,43,154,8,1,0
0,0,27,715,26,172,1,1,0
0,0,26,968,29,9,53,1,0
7,0,27,100,15,0,3,0,0
0,0,26,0,0,0,0,0,0
6,0,25,625,22,0,2,1,0
0,0,25,2625,51,0,8,1,0
0,0,18,1095,16,7,6,1,0
12,0,17,5793,131,64,27,1,0
8,0,15,8333,161,52,25,1,0
4,0,16,2253,35,10,4,1,0
0,0,9,3790,30,194,23,1,0
0,1,9,888,9,0,3,1,1
8,0,39,4485,77,37,21,1,0
0,0,40,433,11,39,8,0,0
10,0,38,2568,66,391,28,1,0
10,0,39,4313,72,33,39,1,0
3,0,39,2508,64,34,37,1,0
11,0,39,3890,88,64,32,1,0
4,0,39,2475,45,317,22,1,0
13,0,38,9230,127,176,47,1,0
7,0,39,13888,175,32,48,1,0
7,0,39,4630,89,34,29,1,0
6,0,39,6033,101,39,16,1,0
9,1,39,2353,60,40,21,0,0
25,0,39,15255,231,86,36,1,0
4,0,39,3210,33,515,12,1,0
9,0,38,15600,188,182,34,1,0
3,0,38,6615,92,218,30,1,0
0,0,38,990,20,32,15,0,0
2,0,39,825,20,45,12,0,0
0,0,38,115,6,32,4,0,1
3,0,38,7623,133,416,47,1,0
7,0,38,11580,160,43,51,1,0
8,0,38,6833,81,140,41,1,0
23,1,34,1070,53,48,21,0,1
21,0,37,10550,99,33,46,1,0
13,0,37,5933,104,58,28,1,0
1,0,35,2955,28,32,18,1,0
9,1,36,3105,47,41,20,0,1
9,0,37,2383,50,66,35,0,1
0,0,37,248,8,32,6,0,1
1,0,37,1783,31,32,10,1,0
3,0,34,6900,103,46,26,1,0
0,0,37,743,13,41,8,0,1
0,0,37,453,10,36,6,1,0
25,0,32,16190,244,32,84,1,0
6,0,35,7080,122,303,37,1,0
2,0,37,3833,88,34,32,1,0
3,0,36,1780,50,70,24,0,0
6,0,37,2895,59,207,27,1,0
4,0,28,1430,42,225,15,1,0
4,0,27,1683,45,62,72,1,0
11,0,28,815,31,42,11,0,0
0,0,27,940,16,53,7,0,0
10,0,26,1340,38,51,17,1,0
2,0,26,3340,67,40,27,1,0
2,0,19,1810,32,60,18,1,0
16,0,18,6508,147,117,46,1,0
12,0,16,9048,177,105,44,1,0
8,0,17,2968,51,63,23,1,0
2,0,10,4505,46,247,14,1,0
3,0,10,1603,25,32,11,1,1
8,0,37,4255,65,0,13,1,0
0,0,38,0,0,0,0,0,0
10,0,36,2338,54,327,20,1,0
10,0,37,4083,60,0,31,1,0
3,0,37,2278,52,0,29,1,0
11,0,37,3660,76,0,24,1,0
4,0,37,2245,33,253,14,1,0
13,0,36,9000,115,112,39,1,0
7,0,37,13658,163,0,40,1,0
7,0,37,4400,77,0,21,1,0
6,0,37,5803,89,0,8,1,0
9,0,37,2123,48,0,13,0,0
25,0,37,15025,219,22,28,1,0
4,0,37,2980,21,451,4,1,0
9,0,36,15370,176,118,26,1,0
3,0,36,6385,80,154,22,1,0
0,0,36,760,8,0,7,0,0
2,0,37,595,8,0,4,0,0
0,1,36,0,0,0,0,0,1
3,0,36,7393,121,352,39,1,0
7,0,36,11350,148,0,43,1,0
8,0,36,6603,69,76,33,1,0
23,0,32,840,41,0,13,0,1
21,0,35,10320,87,0,38,1,0
13,1,35,5703,92,0,20,1,1
1,0,33,2725,16,0,10,1,0
9,1,34,2875,35,0,12,0,1
9,0,35,2153,38,2,27,0,1
0,0,35,0,0,0,0,0,1
1,0,35,1553,19,0,2,1,0
3,0,32,6670,91,0,18,1,0
0,0,35,513,1,0,3,0,1
0,0,35,0,0,0,0,1,0
25,0,30,15960,232,0,76,1,0
6,0,33,6850,110,239,29,1,0
2,0,35,3603,76,0,24,1,0
3,0,34,1550,38,6,16,0,0
6,0,35,2665,47,143,19,1,0
4,0,26,1200,30,161,7,1,0
4,0,25,1453,33,0,64,1,0
11,0,26,585,19,0,3,0,0
0,0,25,710,4,0,1,0,0
10,0,24,1110,26,0,9,1,0
2,0,24,3110,55,0,19,1,0
2,0,17,1580,20,0,10,1,0
16,0,16,6278,135,53,38,1,0
12,0,14,8818,165,41,36,1,0
8,0,15,2738,39,0,15,1,0
2,0,8,4275,34,183,6,1,0
3,1,8,1373,13,0,3,1,1
10,0,38,4560,72,14,20,1,0
2,0,39,508,6,16,7,0,0
12,0,37,2643,61,368,27,1,0
12,0,38,4388,67,10,38,1,0
5,0,38,2583,59,11,36,1,0
13,0,38,3965,83,41,31,1,0
6,0,38,2550,40,294,21,1,0
15,0,37,9305,122,153,46,1,0
9,0,38,13963,170,9,47,1,0
9,0,38,4705,84,11,28,1,0
8,0,38,6108,96,16,15,1,0
11,1,38,2428,55,17,20,0,0
27,0,38,15330,226,63,35,1,0
6,0,38,3285,28,492,11,1,0
11,0,37,15675,183,159,33,1,0
5,0,37,6690,87,195,29,1,0
2,0,37,1065,15,9,14,0,0
4,0,38,900,15,22,11,0,0
2,0,37,190,1,9,3,0,1
5,0,37,7698,128,393,46,1,0
9,0,37,11655,155,20,50,1,0
10,0,37,6908,76,117,40,1,0
25,1,33,1145,48,25,20,0,1
23,0,36,10625,94,10,45,1,0
15,0,36,6008,99,35,27,1,1
3,0,34,3030,23,9,17,1,0
11,1,35,3180,42,18,19,0,1
11,1,36,2458,45,43,34,0,1
2,0,36,323,3,9,5,0,1
3,0,36,1858,26,9,9,1,0
5,0,33,6975,98,23,25,1,0
2,0,36,818,8,18,7,0,1
2,0,36,528,5,13,5,1,0
27,0,31,16265,239,9,83,1,0
8,0,34,7155,117,280,36,1,0
4,0,36,3908,83,11,31,1,0
5,0,35,1855,45,47,23,0,0
8,0,36,2970,54,184,26,1,0
6,1,27,1505,37,202,14,1,1
6,0,26,1758,40,39,71,1,0
13,0,27,890,26,19,10,0,0
2,0,26,1015,11,30,6,0,0
12,0,25,1415,33,28,16,1,0
4,0,25,3415,62,17,26,1,0
4,0,18,1885,27,37,17,1,0
18,0,17,6582,142,94,45,1,0
14,0,15,9122,172,82,43,1,0
10,0,16,3042,46,40,22,1,0
4,0,9,4580,41,224,13,1,0
5,0,9,1677,20,9,10,1,1
6,0,38,4180,70,0,14,1,0
0,0,39,128,4,0,1,0,0
8,0,37,2263,59,350,21,1,0
8,0,38,4008,65,0,32,1,0
1,0,38,2203,57,0,30,1,0
9,0,38,3585,81,23,25,1,0
2,0,38,2170,38,276,15,1,0
11,0,37,8925,120,135,40,1,0
5,0,38,13583,168,0,41,1,0
5,0,38,4325,82,0,22,1,0
4,0,38,5728,94,0,9,1,0
7,0,38,2048,53,0,14,0,0
23,0,38,14950,224,45,29,1,0
2,0,38,2905,26,474,5,1,0
7,0,37,15295,181,141,27,1,0
1,0,37,6310,85,177,23,1,0
0,0,37,685,13,0,8,0,0
0,0,38,520,13,4,5,0,0
0,0,37,0,0,0,0,0,1
1,0,37,7318,126,375,40,1,0
5,0,37,11275,153,2,44,1,0
6,0,37,6528,74,99,34,1,0
21,0,33,765,46,7,14,0,1
19,0,36,10245,92,0,39,1,0
11,0,36,5628,97,17,21,1,1
0,0,34,2650,21,0,11,1,0
7,1,35,2800,40,0,13,0,1
7,0,36,2078,43,25,28,0,1
0,0,36,0,0,0,0,0,1
0,0,36,1478,24,0,3,1,0
1,0,33,6595,96,5,19,1,0
0,0,36,438,6,0,1,0,1
0,0,36,0,0,0,0,1,0
23,0,31,15885,237,0,77,1,0
4,0,34,6775,115,262,30,1,0
0,0,36,3528,81,0,25,1,0
1,0,35,1475,43,29,17,0,0
